strike,Plot,Strike_dat,Lat_N,Lon_W,central_tr,LocationMe,obs,X,Y,nstrike
3,50ha,21-Sep-15,9.15311000000,-79.84966000000,3376,cameras,stand dead tree,626392.95845899999,1011981.51671999996,3
5,50ha,6-Oct-15,9.15249000000,-79.84772000000,1493,cameras,,626606.36166499997,1011913.63895000005,5
6,50ha,19-Jun-16,9.15386000000,-79.85271000000,6163,cameras,stand dead tree,626057.53434200003,1012063.38207000005,6
7,50ha,19-Jun-16,9.15513000000,-79.85381000000,7168,cameras,35 m distante of a treefall visualized on 20160713,625936.21031200001,1012203.43284999998,7
0,50ha,30-Jun-16,9.15427000000,-79.84746000000,1317,cameras,tree fall,626634.30281899997,1012110.56191000005,8a
0,50ha,30-Jun-16,9.15434000000,-79.84713000000,958,cameras,tree fall,626670.54116899997,1012118.41856999998,8b
9,50ha,30-Jun-16,9.15302000000,-79.85115000000,4688,cameras,a lot of neighboring tree fall,626229.25631099998,1011971.04191999999,9
10,50ha,30-Jun-16,9.15428000000,-79.85065000000,4406,cameras,snapped on Dec 2016,626283.75588700001,1012110.54728000006,10
12,50ha,15-Dec-15,9.15230000000,-79.85115000000,4673,field,,626229.51028100005,1011891.42475999997,12
16,50ha,30-Jun-16,9.15360000000,-79.84669000000,379,field,stand dead tree,626719.15408400004,1012036.74453000003,16
17,50ha,27-Jul-16,9.15381000000,-79.85219000000,5686,cameras,stand dead tree,626114.69383700006,1012058.03520000004,17
18,50ha,5-Sep-16,9.15121000000,-79.84908000000,2587,cameras,,626457.36519399995,1011771.61939000001,18
20,50ha,19-Jun-16,9.15499684848,-79.85010905660,3833,cameras,"tree alive, not affected",626342.94601600000,1012190.00575000001,20
27,50ha,25-Aug-17,9.15141000000,-79.84811000000,1904,cameras,"only small trees affected, not in the image",626563.88696599996,1011794.07600999996,27
30,50ha,28-Aug-17,9.15499000000,-79.85423000000,7496,cameras,stand dead tree,625890.10671299999,1012187.80484999996,30
18005,50ha,1-Jun-18,9.15474000000,-79.85481000000,8133,cameras,"stand dead tree on July 2018, added 1 more polyg",625826.45971800003,1012159.95727999997,18005
18007,50ha,9-Jun-18,9.15238000000,-79.85009000000,3696,cameras,"dry leaves Sept 2019, check 2018",626345.96412400005,1011900.64283999999,18007
18012,50ha,2-Jul-18,9.15226000000,-79.84668000000,427,cameras,flashover,626720.72748999996,1011888.57145000005,18012
19001,50ha,1-Jun-19,9.15485000000,-79.84738000000,1342,camera/hammas,branchfall Sept 2019 of a neighbor tree,626642.88858000003,1012174.72618000000,19001
19008,50ha,10-Jul-19,9.15513000000,-79.85381000000,7168,cameras,"coord rep 19 Jun2016, dipteryx struck 2x, healthy",625936.21031200001,1012203.43284999998,19008
19009,50ha,14-Jul-19,9.15366000000,-79.84701000000,32981,cameras,"stand dead tree, no gaps associated, no small damg",626683.96852100000,1012043.26670000004,19009
19021,50ha,5-Oct-19,9.15470000000,-79.85363000000,7114,cameras,stand dead tree,625956.14149800001,1012155.94672000001,19021
