,Id,nstrike,date,F_AREA,Perimeter,Circularity
0,25,10,2017-08-31,93.9584709092,39.02439549067122,0.7753065192090564
1,18,12,2016-09-22,493.319720376,193.26461796083174,0.1659715445220889
2,25,16,2017-08-31,329.736379209,157.78597719707983,0.166433183763374
3,32,17,2018-07-24,220.81148677,138.11759107215613,0.14545663476598816
4,45,18005,2019-09-23,147.475801116,87.35928327014857,0.2428356829511901
5,45,18012,2019-09-23,49.0559982547,40.627100246795905,0.3734825628490532
6,45,19001,2019-09-23,28.7776771613,29.100209676738203,0.4270447270393554
7,47,19021,2019-11-28,80.2799022029,55.30646759261083,0.32981078755751964
8,17,20,2016-07-13,38.4756145901,27.890034904288523,0.6215804037306669
9,36,30,2018-12-26,255.139795811,138.71152890817862,0.16663374323647825
10,25,3,2017-08-31,691.388002762,209.3579585068824,0.19822241078489258
11,29,6,2018-02-28,168.61382303,75.24610014344731,0.3742269387101573
12,28,8b,2017-11-29,331.048858901,137.78095648491467,0.2191409644184965
13,20,9,2016-12-23,18.9362175071,16.36136848016453,0.8889223917321456
