,nstrike_1,idrings,Id,nstrike_2,date,F_AREA,area_gap_r,percent_area
0,10,8.0,25.0,10,2017-08-31,93.9584709092,0.47467716830458545,0.5051989072526585
1,10,9.0,25.0,10,2017-08-31,93.9584709092,3.2316762977892166,3.4394730634902073
2,10,10.0,25.0,10,2017-08-31,93.9584709092,6.143601476217992,6.538635012648378
3,10,11.0,25.0,10,2017-08-31,93.9584709092,8.93298560776966,9.507376526382979
4,10,12.0,25.0,10,2017-08-31,93.9584709092,10.15875003602468,10.811957599695228
5,10,13.0,25.0,10,2017-08-31,93.9584709092,10.813150159421847,11.508435646926934
6,10,14.0,25.0,10,2017-08-31,93.9584709092,11.29424347413337,12.0204632587603
7,10,15.0,25.0,10,2017-08-31,93.9584709092,12.300356174416171,13.09126899936786
8,10,16.0,25.0,10,2017-08-31,93.9584709092,13.006646022116348,13.842973279850165
9,10,17.0,25.0,10,2017-08-31,93.9584709092,11.312961324451448,12.04038466673656
10,10,18.0,25.0,10,2017-08-31,93.9584709092,6.172112585621361,6.568979386207757
11,10,19.0,25.0,10,2017-08-31,93.9584709092,0.11731058298028854,0.12485365273095562
0,12,1.0,18.0,12,2016-09-22,493.319720376,3.136548490450947,0.635804400452575
1,12,2.0,18.0,12,2016-09-22,493.319720376,7.39408743848276,1.4988428666194633
2,12,3.0,18.0,12,2016-09-22,493.319720376,7.363792836230695,1.4927018994128465
3,12,4.0,18.0,12,2016-09-22,493.319720376,9.794902733544305,1.9855080445757967
4,12,5.0,18.0,12,2016-09-22,493.319720376,13.28977274551795,2.693947190148553
5,12,6.0,18.0,12,2016-09-22,493.319720376,16.986884690950962,3.4433824534733466
6,12,7.0,18.0,12,2016-09-22,493.319720376,19.820625890886916,4.017805303988246
7,12,8.0,18.0,12,2016-09-22,493.319720376,22.951057789241617,4.652369820478432
8,12,9.0,18.0,12,2016-09-22,493.319720376,27.715236144799274,5.618108297733402
9,12,10.0,18.0,12,2016-09-22,493.319720376,31.69769831492702,6.425386418926769
10,12,11.0,18.0,12,2016-09-22,493.319720376,33.72049086910117,6.835423251152411
11,12,12.0,18.0,12,2016-09-22,493.319720376,33.54606417540436,6.800065513261078
12,12,13.0,18.0,12,2016-09-22,493.319720376,31.43670841875722,6.372481601748394
13,12,14.0,18.0,12,2016-09-22,493.319720376,31.830317794554983,6.452269487685277
14,12,15.0,18.0,12,2016-09-22,493.319720376,32.55103696384192,6.598365242531166
15,12,16.0,18.0,12,2016-09-22,493.319720376,31.18930605272918,6.3223310896546385
16,12,17.0,18.0,12,2016-09-22,493.319720376,24.892394799579414,5.045894938196844
17,12,18.0,18.0,12,2016-09-22,493.319720376,18.725689934554094,3.795852701830303
18,12,19.0,18.0,12,2016-09-22,493.319720376,13.898458141727676,2.8173327697369377
19,12,20.0,18.0,12,2016-09-22,493.319720376,10.411742723833493,2.1105466280362433
20,12,21.0,18.0,12,2016-09-22,493.319720376,11.743764672312619,2.380558527715397
21,12,22.0,18.0,12,2016-09-22,493.319720376,12.373612247491282,2.508233856546485
22,12,23.0,18.0,12,2016-09-22,493.319720376,11.069232973399199,2.243825356294781
23,12,24.0,18.0,12,2016-09-22,493.319720376,9.026906970140896,1.8298289318863514
24,12,25.0,18.0,12,2016-09-22,493.319720376,7.913198729035468,1.6040710318663443
25,12,26.0,18.0,12,2016-09-22,493.319720376,7.385980722122756,1.4971995679583385
26,12,27.0,18.0,12,2016-09-22,493.319720376,5.043010568266141,1.0222600800191897
27,12,28.0,18.0,12,2016-09-22,493.319720376,4.10426004999879,0.8319675619029768
28,12,29.0,18.0,12,2016-09-22,493.319720376,2.285518210089551,0.463293502304665
29,12,30.0,18.0,12,2016-09-22,493.319720376,0.021418283540583945,0.004341663764071562
0,16,1.0,25.0,16,2017-08-31,329.736379209,2.9482917648191047,0.8941360282695288
1,16,2.0,25.0,16,2017-08-31,329.736379209,7.721994227753316,2.3418690549940226
2,16,3.0,25.0,16,2017-08-31,329.736379209,13.080016782374742,3.9668103391418965
3,16,4.0,25.0,16,2017-08-31,329.736379209,16.92197850038057,5.131971953162847
4,16,5.0,25.0,16,2017-08-31,329.736379209,18.021013952311687,5.465279262040193
5,16,6.0,25.0,16,2017-08-31,329.736379209,22.313987258233205,6.767220320597296
6,16,7.0,25.0,16,2017-08-31,329.736379209,26.080635994770525,7.909541572978693
7,16,8.0,25.0,16,2017-08-31,329.736379209,31.65058625626492,9.598754717993527
8,16,9.0,25.0,16,2017-08-31,329.736379209,32.878213008008565,9.971060241178014
9,16,10.0,25.0,16,2017-08-31,329.736379209,29.11486328945289,8.82973949046694
10,16,11.0,25.0,16,2017-08-31,329.736379209,28.942310692318323,8.777409020426447
11,16,12.0,25.0,16,2017-08-31,329.736379209,24.8801402711207,7.5454641464812955
12,16,13.0,25.0,16,2017-08-31,329.736379209,21.45875903434622,6.507853056985503
13,16,14.0,25.0,16,2017-08-31,329.736379209,18.316591171457492,5.554919725690234
14,16,15.0,25.0,16,2017-08-31,329.736379209,14.207458464422082,4.308732478504239
15,16,16.0,25.0,16,2017-08-31,329.736379209,9.917084336239505,3.0075796792666494
16,16,17.0,25.0,16,2017-08-31,329.736379209,7.761586734719284,2.3538763764369723
17,16,18.0,25.0,16,2017-08-31,329.736379209,3.4173612690226554,1.0363919435339575
18,16,19.0,25.0,16,2017-08-31,329.736379209,0.10350620079691401,0.03139059179494043
0,17,1.0,32.0,17,2018-07-24,220.81148677,2.524331522897905,1.1432066147569941
1,17,2.0,32.0,17,2018-07-24,220.81148677,4.754860027121085,2.1533571901872146
2,17,3.0,32.0,17,2018-07-24,220.81148677,5.791912387190793,2.6230122680273973
3,17,4.0,32.0,17,2018-07-24,220.81148677,8.752353320402953,3.963721927890244
4,17,5.0,32.0,17,2018-07-24,220.81148677,10.741548062275308,4.864578477959274
5,17,6.0,32.0,17,2018-07-24,220.81148677,11.56023272904672,5.235340288745034
6,17,7.0,32.0,17,2018-07-24,220.81148677,12.485185297156423,5.6542281743527
7,17,8.0,32.0,17,2018-07-24,220.81148677,12.970482922063901,5.874007331681127
8,17,9.0,32.0,17,2018-07-24,220.81148677,10.707655588221826,4.8492294240901765
9,17,10.0,32.0,17,2018-07-24,220.81148677,8.318227725527986,3.7671173031828533
10,17,11.0,32.0,17,2018-07-24,220.81148677,9.19305156508705,4.163303141318299
11,17,12.0,32.0,17,2018-07-24,220.81148677,8.577074246359404,3.884342418876692
12,17,13.0,32.0,17,2018-07-24,220.81148677,5.876919502540364,2.661509864594063
13,17,14.0,32.0,17,2018-07-24,220.81148677,6.492341887215931,2.9402192712820394
14,17,15.0,32.0,17,2018-07-24,220.81148677,10.367968780743228,4.695393764339187
