,nstrike,difmonth
0,10,-19.8
1,10,-19.1
2,10,-18.4
3,10,-17.6
4,10,-16.6
5,10,-16.1
6,10,-15.0
7,10,-14.3
8,10,-13.4
9,10,-12.7
10,10,-12.1
11,10,-11.6
12,10,-10.4
13,10,-9.2
14,10,-1.4
15,10,-1.0
16,10,0.4
17,10,2.8
18,10,3.7
19,10,5.8
20,10,8.5
21,10,9.7
22,10,10.5
23,10,11.7
24,10,14.0
25,10,14.9
26,10,16.0
27,10,17.0
28,10,20.0
29,10,21.1
30,10,22.7
31,10,24.8
32,10,25.9
33,10,27.9
34,10,28.9
35,10,29.9
36,10,30.9
37,10,31.9
38,10,32.8
39,10,33.8
40,10,35.0
41,10,35.9
42,10,36.8
43,10,37.9
44,10,38.8
45,10,39.6
46,10,40.9
47,12,-13.3
48,12,-12.6
49,12,-11.9
50,12,-11.1
51,12,-10.1
52,12,-9.6
53,12,-8.5
54,12,-7.8
55,12,-6.9
56,12,-6.2
57,12,-5.6
58,12,-5.1
59,12,-3.9
60,12,-2.7
61,12,5.1
62,12,5.6
63,12,6.9
64,12,9.3
65,12,10.2
66,12,12.3
67,12,15.0
68,12,16.2
69,12,17.1
70,12,18.2
71,12,20.5
72,12,21.4
73,12,22.5
74,12,23.5
75,12,26.5
76,12,27.6
77,12,29.2
78,12,31.3
79,12,32.4
80,12,34.4
81,12,35.4
82,12,36.4
83,12,37.5
84,12,38.4
85,12,39.3
86,12,40.3
87,12,41.5
88,12,42.4
89,12,43.3
90,12,44.4
91,12,45.3
92,12,46.1
93,12,47.4
94,16,-19.8
95,16,-19.1
96,16,-18.4
97,16,-17.6
98,16,-16.6
99,16,-16.1
100,16,-15.0
101,16,-14.3
102,16,-13.4
103,16,-12.7
104,16,-12.1
105,16,-11.6
106,16,-10.4
107,16,-9.2
108,16,-1.4
109,16,-1.0
110,16,0.4
111,16,2.8
112,16,3.7
113,16,5.8
114,16,8.5
115,16,9.7
116,16,10.5
117,16,11.7
118,16,14.0
119,16,14.9
120,16,16.0
121,16,17.0
122,16,20.0
123,16,21.1
124,16,22.7
125,16,24.8
126,16,25.9
127,16,27.9
128,16,28.9
129,16,29.9
130,16,30.9
131,16,31.9
132,16,32.8
133,16,33.8
134,16,35.0
135,16,35.9
136,16,36.8
137,16,37.9
138,16,38.8
139,16,39.6
140,16,40.9
141,17,-20.7
142,17,-20.0
143,17,-19.3
144,17,-18.5
145,17,-17.5
146,17,-17.0
147,17,-15.9
148,17,-15.2
149,17,-14.3
150,17,-13.6
151,17,-12.9
152,17,-12.5
153,17,-11.3
154,17,-10.1
155,17,-2.3
156,17,-1.8
157,17,-0.5
158,17,1.9
159,17,2.8
160,17,4.9
161,17,7.6
162,17,8.8
163,17,9.7
164,17,10.8
165,17,13.1
166,17,14.0
167,17,15.1
168,17,16.1
169,17,19.1
170,17,20.2
171,17,21.8
172,17,23.9
173,17,25.0
174,17,27.0
175,17,28.0
176,17,29.0
177,17,30.1
178,17,31.0
179,17,31.9
180,17,32.9
181,17,34.1
182,17,35.0
183,17,35.9
184,17,37.0
185,17,37.9
186,17,38.7
187,17,40.1
188,18,-22.0
189,18,-21.3
190,18,-20.6
191,18,-19.8
192,18,-18.8
193,18,-18.3
194,18,-17.2
195,18,-16.5
196,18,-15.6
197,18,-14.9
198,18,-14.3
199,18,-13.8
200,18,-12.6
201,18,-11.4
202,18,-3.6
203,18,-3.2
204,18,-1.8
205,18,0.6
206,18,1.5
207,18,3.6
208,18,6.3
209,18,7.5
210,18,8.3
211,18,9.5
212,18,11.8
213,18,12.7
214,18,13.8
215,18,14.8
216,18,17.8
217,18,18.9
218,18,20.5
219,18,22.6
220,18,23.7
221,18,25.7
222,18,26.7
223,18,27.7
224,18,28.7
225,18,29.7
226,18,30.6
227,18,31.6
228,18,32.8
229,18,33.7
230,18,34.6
231,18,35.7
232,18,36.6
233,18,37.4
234,18,38.7
235,18005,-42.8
236,18005,-42.1
237,18005,-41.5
238,18005,-40.7
239,18005,-39.6
240,18005,-39.2
241,18005,-38.0
242,18005,-37.3
243,18005,-36.4
244,18005,-35.7
245,18005,-35.1
246,18005,-34.6
247,18005,-33.4
248,18005,-32.2
249,18005,-24.4
250,18005,-24.0
251,18005,-22.6
252,18005,-20.3
253,18005,-19.4
254,18005,-17.2
255,18005,-14.6
256,18005,-13.3
257,18005,-12.5
258,18005,-11.3
259,18005,-9.0
260,18005,-8.1
261,18005,-7.0
262,18005,-6.0
263,18005,-3.1
264,18005,-1.9
265,18005,-0.3
266,18005,1.7
267,18005,2.9
268,18005,4.8
269,18005,5.8
270,18005,6.8
271,18005,7.9
272,18005,8.8
273,18005,9.8
274,18005,10.7
275,18005,12.0
276,18005,12.8
277,18005,13.7
278,18005,14.9
279,18005,15.7
280,18005,16.5
281,18005,17.9
282,18007,-43.1
283,18007,-42.4
284,18007,-41.7
285,18007,-40.9
286,18007,-39.9
287,18007,-39.4
288,18007,-38.3
289,18007,-37.6
290,18007,-36.7
291,18007,-36.0
292,18007,-35.4
293,18007,-34.9
294,18007,-33.7
295,18007,-32.5
296,18007,-24.7
297,18007,-24.2
298,18007,-22.9
299,18007,-20.5
300,18007,-19.6
301,18007,-17.5
302,18007,-14.8
303,18007,-13.6
304,18007,-12.7
305,18007,-11.6
306,18007,-9.3
307,18007,-8.4
308,18007,-7.3
309,18007,-6.3
